1527445303.424000, Person0/eeg, 762.344322344, 861.868131868, 791.758241758, 945.677655678, nan, nan
1527445303.424000, Person0/eeg, 796.19047619, 857.838827839, 792.564102564, 873.553113553, nan, nan
1527445303.424000, Person0/eeg, 772.820512821, 854.212454212, 791.758241758, 923.113553114, nan, nan
1527445303.425000, Person0/eeg, 723.663003663, 855.824175824, 797.802197802, 1014.98168498, nan, nan
1527445303.425000, Person0/eeg, 734.945054945, 855.421245421, 803.443223443, 991.611721612, nan, nan
1527445303.425000, Person0/eeg, 767.985347985, 850.586080586, 802.637362637, 903.772893773, nan, nan
1527445303.426000, Person0/eeg, 759.926739927, 850.586080586, 802.637362637, 915.457875458, nan, nan
1527445303.426000, Person0/eeg, 715.201465201, 853.003663004, 806.263736264, 1011.35531136, nan, nan
1527445303.426000, Person0/eeg, 710.769230769, 852.600732601, 807.875457875, 1023.84615385, nan, nan
1527445303.427000, Person0/eeg, 749.047619048, 850.183150183, 811.501831502, 933.186813187, nan, nan
1527445303.427000, Person0/eeg, 759.523809524, 844.945054945, 814.725274725, 905.787545788, nan, nan
1527445303.429000, Person0/eeg, 722.051282051, 841.318681319, 814.725274725, 995.641025641, nan, nan
1527445303.465000, Person0/eeg, 699.89010989, 844.542124542, 817.545787546, 1048.02197802, nan, nan
1527445303.466000, Person0/eeg, 731.721611722, 849.377289377, 816.73992674, 978.315018315, nan, nan
1527445303.466000, Person0/eeg, 749.450549451, 845.750915751, 812.307692308, 917.06959707, nan, nan
1527445303.466000, Person0/eeg, 718.827838828, 842.124542125, 810.293040293, 980.732600733, nan, nan
1527445303.467000, Person0/eeg, 685.384615385, 846.95970696, 813.516483516, 1061.31868132, nan, nan
1527445303.467000, Person0/eeg, 715.201465201, 846.95970696, 815.934065934, 1012.96703297, nan, nan
1527445303.467000, Person0/eeg, 750.659340659, 845.347985348, 814.322344322, 926.336996337, nan, nan
1527445303.467000, Person0/eeg, 736.153846154, 844.945054945, 817.948717949, 955.347985348, nan, nan
1527445303.468000, Person0/eeg, 712.380952381, 842.93040293, 819.963369963, 1041.17216117, nan, nan
1527445303.468000, Person0/eeg, 726.886446886, 843.736263736, 819.56043956, 1023.04029304, nan, nan
1527445303.468000, Person0/eeg, 770.0, 843.333333333, 818.754578755, 922.710622711, nan, nan
1527445303.469000, Person0/eeg, 775.238095238, 844.139194139, 816.73992674, 914.652014652, nan, nan
1527445303.511000, Person0/eeg, 734.139194139, 845.347985348, 820.769230769, 1013.36996337, nan, nan
1527445303.512000, Person0/eeg, 718.827838828, 841.318681319, 823.992673993, 1035.53113553, nan, nan
1527445303.512000, Person0/eeg, 754.688644689, 838.095238095, 821.172161172, 941.648351648, nan, nan
1527445303.512000, Person0/eeg, 778.461538462, 841.318681319, 823.58974359, 900.549450549, nan, nan
1527445303.513000, Person0/eeg, 745.018315018, 842.527472527, 827.619047619, 983.15018315, nan, nan
1527445303.513000, Person0/eeg, 713.992673993, 838.901098901, 826.41025641, 1035.53113553, nan, nan
1527445303.513000, Person0/eeg, 741.794871795, 836.886446886, 826.813186813, 959.78021978, nan, nan
1527445303.513000, Person0/eeg, 783.6996337, 839.304029304, 826.813186813, 886.446886447, nan, nan
1527445303.513000, Person0/eeg, 761.538461538, 840.10989011, 828.424908425, 943.26007326, nan, nan
1527445303.514000, Person0/eeg, 716.813186813, 837.289377289, 833.663003663, 1027.87545788, nan, nan
1527445303.514000, Person0/eeg, 737.765567766, 837.289377289, 834.871794872, 979.120879121, nan, nan
1527445303.514000, Person0/eeg, 777.655677656, 840.512820513, 831.245421245, 888.058608059, nan, nan
1527445303.567000, Person0/eeg, 762.747252747, 840.512820513, 828.827838828, 908.205128205, nan, nan
1527445303.570000, Person0/eeg, 720.842490842, 840.512820513, 830.036630037, 997.252747253, nan, nan
1527445303.571000, Person0/eeg, 730.512820513, 844.139194139, 829.633699634, 999.267399267, nan, nan
1527445303.571000, Person0/eeg, 776.043956044, 843.736263736, 826.813186813, 905.384615385, nan, nan
1527445303.571000, Person0/eeg, 786.117216117, 843.333333333, 829.230769231, 884.432234432, nan, nan
1527445303.571000, Person0/eeg, 747.838827839, 841.318681319, 834.871794872, 976.703296703, nan, nan
1527445303.571000, Person0/eeg, 738.974358974, 841.721611722, 834.871794872, 1014.57875458, nan, nan
1527445303.572000, Person0/eeg, 782.893772894, 844.139194139, 834.468864469, 920.293040293, nan, nan
1527445303.572000, Person0/eeg, 797.399267399, 841.721611722, 832.051282051, 860.256410256, nan, nan
1527445303.572000, Person0/eeg, 765.567765568, 842.93040293, 830.842490842, 934.395604396, nan, nan
1527445303.572000, Person0/eeg, 744.615384615, 845.750915751, 830.43956044, 1000.87912088, nan, nan
1527445303.572000, Person0/eeg, 779.67032967, 845.750915751, 832.051282051, 938.827838828, nan, nan
1527445303.610000, Person0/eeg, 812.710622711, 843.736263736, 831.648351648, 856.63003663, nan, nan
1527445303.610000, Person0/eeg, 790.549450549, 844.139194139, 831.648351648, 905.384615385, nan, nan
1527445303.610000, Person0/eeg, 751.062271062, 843.333333333, 836.886446886, 992.820512821, nan, nan
1527445303.611000, Person0/eeg, 762.747252747, 839.706959707, 838.901098901, 957.765567766, nan, nan
1527445303.611000, Person0/eeg, 806.666666667, 841.721611722, 837.289377289, 863.47985348, nan, nan
1527445303.611000, Person0/eeg, 802.234432234, 842.527472527, 836.886446886, 872.747252747, nan, nan
1527445303.611000, Person0/eeg, 761.538461538, 842.527472527, 837.289377289, 967.032967033, nan, nan
