1525930597.011947, /muse/eeg, 837.692321777, 875.567749023, 852.197814941, 864.285705566
1525930597.011964, /muse/eeg, 837.289367676, 874.358947754, 853.003662109, 863.8828125
1525930597.011973, /muse/eeg, 836.886474609, 873.553100586, 854.615356445, 834.871765137
1525930597.011983, /muse/eeg, 838.498168945, 876.373596191, 855.824157715, 823.992675781
1525930597.011992, /muse/eeg, 830.842468262, 875.164855957, 857.032958984, 847.765563965
1525930597.012001, /muse/eeg, 826.41027832, 875.970703125, 854.212463379, 857.838806152
1525930597.012014, /muse/eeg, 817.142883301, 874.761901855, 851.79486084, 827.216125488
1525930597.012024, /muse/eeg, 804.652038574, 876.776550293, 849.377319336, 802.234436035
1525930597.012032, /muse/eeg, 806.666687012, 876.776550293, 848.974365234, 817.545776367
1525930597.012042, /muse/eeg, 801.831481934, 874.761901855, 844.139221191, 829.230773926
1525930597.012983, /muse/eeg, 784.102539062, 875.164855957, 841.318664551, 802.637390137
1525930597.012995, /muse/eeg, 772.417602539, 865.897460938, 846.959716797, 764.358947754
1525930597.053397, /muse/eeg, 779.26739502, 865.494506836, 843.333312988, 772.820495605
1525930597.053435, /muse/eeg, 783.296691895, 878.79119873, 839.304016113, 801.428588867
1525930597.053450, /muse/eeg, 755.897460938, 877.582397461, 836.483520508, 768.79119873
1525930597.053463, /muse/eeg, 724.871765137, 863.076904297, 830.842468262, 711.978027344
1525930597.053476, /muse/eeg, 726.483520508, 860.659362793, 832.051269531, 711.172180176
1525930597.053489, /muse/eeg, 726.080566406, 867.106201172, 835.274719238, 743.406616211
1525930597.053501, /muse/eeg, 715.604370117, 870.329650879, 833.260070801, 745.421264648
1525930597.053514, /muse/eeg, 705.53112793, 869.523803711, 834.065917969, 706.336975098
1525930597.053526, /muse/eeg, 703.113525391, 861.062255859, 844.139221191, 691.428588867
1525930597.053536, /muse/eeg, 706.739929199, 862.67401123, 845.750915527, 715.604370117
1525930597.053549, /muse/eeg, 720.842468262, 867.106201172, 841.318664551, 738.168518066
1525930597.053561, /muse/eeg, 725.274719238, 861.465209961, 843.73626709, 724.065917969
1525930597.095501, /muse/eeg, 718.021972656, 861.868103027, 846.556762695, 707.545776367
1525930597.095559, /muse/eeg, 720.439575195, 866.300354004, 846.153869629, 724.871765137
1525930597.095582, /muse/eeg, 730.915771484, 871.538452148, 846.153869629, 752.67401123
1525930597.095613, /muse/eeg, 728.498168945, 867.509155273, 846.959716797, 737.765563965
1525930597.095636, /muse/eeg, 727.692321777, 865.091552734, 845.347961426, 716.007324219
1525930597.095659, /muse/eeg, 746.630065918, 864.688659668, 846.556762695, 740.989013672
1525930597.095682, /muse/eeg, 757.912109375, 865.091552734, 849.780212402, 778.05859375
1525930597.095715, /muse/eeg, 768.79119873, 864.688659668, 845.750915527, 790.952392578
1525930597.095738, /muse/eeg, 780.073242188, 866.703308105, 848.571411133, 776.043945312
