,1525930597.011947, /muse/eeg, 837.692321777, 875.567749023, 852.197814941, 864.285705566
0,1525930597.011964, /muse/eeg,837.2893676760001,874.3589477539999,853.003662109,863.8828125
1,1525930597.0119731, /muse/eeg,836.886474609,873.553100586,854.615356445,834.871765137
2,1525930597.011983, /muse/eeg,838.498168945,876.373596191,855.824157715,823.9926757810001
3,1525930597.011992, /muse/eeg,830.842468262,875.164855957,857.032958984,847.765563965
4,1525930597.012001, /muse/eeg,826.41027832,875.970703125,854.2124633789999,857.838806152
5,1525930597.0120142, /muse/eeg,817.1428833010001,874.761901855,851.79486084,827.216125488
6,1525930597.012024, /muse/eeg,804.6520385739999,876.776550293,849.377319336,802.234436035
7,1525930597.012032, /muse/eeg,806.666687012,876.776550293,848.974365234,817.5457763669999
8,1525930597.012042, /muse/eeg,801.831481934,874.761901855,844.139221191,829.2307739260001
9,1525930597.012983, /muse/eeg,784.102539062,875.164855957,841.3186645510001,802.637390137
10,1525930597.012995, /muse/eeg,772.417602539,865.897460938,846.9597167969999,764.3589477539999
11,1525930597.0533972, /muse/eeg,779.26739502,865.494506836,843.333312988,772.820495605
12,1525930597.0534348, /muse/eeg,783.296691895,878.79119873,839.304016113,801.4285888669999
13,1525930597.05345, /muse/eeg,755.897460938,877.582397461,836.4835205080001,768.79119873
14,1525930597.053463, /muse/eeg,724.871765137,863.0769042969999,830.842468262,711.9780273439999
15,1525930597.053476, /muse/eeg,726.4835205080001,860.659362793,832.0512695310001,711.1721801760001
16,1525930597.053489, /muse/eeg,726.0805664060001,867.1062011719999,835.274719238,743.406616211
17,1525930597.053501, /muse/eeg,715.6043701169999,870.3296508789999,833.2600708010001,745.421264648
18,1525930597.053514, /muse/eeg,705.53112793,869.523803711,834.0659179689999,706.336975098
19,1525930597.053526, /muse/eeg,703.113525391,861.062255859,844.139221191,691.4285888669999
20,1525930597.053536, /muse/eeg,706.7399291989999,862.67401123,845.750915527,715.6043701169999
21,1525930597.053549, /muse/eeg,720.842468262,867.1062011719999,841.3186645510001,738.168518066
22,1525930597.053561, /muse/eeg,725.274719238,861.465209961,843.73626709,724.0659179689999
23,1525930597.095501, /muse/eeg,718.0219726560001,861.868103027,846.556762695,707.5457763669999
24,1525930597.095559, /muse/eeg,720.439575195,866.3003540039999,846.1538696289999,724.871765137
25,1525930597.095582, /muse/eeg,730.915771484,871.538452148,846.1538696289999,752.67401123
26,1525930597.095613, /muse/eeg,728.498168945,867.509155273,846.9597167969999,737.765563965
27,1525930597.095636, /muse/eeg,727.692321777,865.091552734,845.3479614260001,716.0073242189999
28,1525930597.095659, /muse/eeg,746.630065918,864.688659668,846.556762695,740.9890136719999
29,1525930597.0956821, /muse/eeg,757.912109375,865.091552734,849.780212402,778.05859375
30,1525930597.095715, /muse/eeg,768.79119873,864.688659668,845.750915527,790.9523925780001
31,1525930597.0957382, /muse/eeg,780.073242188,866.703308105,848.5714111330001,776.043945312
32,1525930597.0957608, /muse/eeg,780.879150391,871.538452148,855.824157715,774.835144043
33,1525930597.095784, /muse/eeg,795.384643555,867.912109375,855.0183105469999,823.186828613
34,1525930597.095819, /muse/eeg,816.336975098,867.1062011719999,853.003662109,849.780212402
